2025-06-19 01:19:53 | INFO     | root:123 | <module>() |    - Similarity threshold: 0.68
2025-06-19 01:19:53 | INFO     | root:124 | <module>() |    - Max results: 15
2025-06-19 01:19:53 | INFO     | root:125 | <module>() |    - Max context chunks: 4
2025-06-19 01:19:53 | INFO     | root:126 | <module>() |    - Request timeout: 30
2025-06-19 01:19:53 | INFO     | root:127 | <module>() |    - Embedding model: text-embedding-3-small
2025-06-19 01:19:53 | INFO     | root:128 | <module>() |    - Chat model: gpt-4o-mini
2025-06-19 01:19:53 | INFO     | root:134 | <module>() | � Project root: C:\Users\verma\TDS-Project-1\TDS-Project-1
2025-06-19 01:19:53 | INFO     | root:135 | <module>() | 📊 Database path: C:\Users\verma\TDS-Project-1\TDS-Project-1\data\knowledge_base_compressed.db
2025-06-19 01:19:53 | INFO     | root:136 | <module>() | 📝 Database exists: True
2025-06-19 01:19:53 | INFO     | root:140 | <module>() | 📂 Data directory: C:\Users\verma\TDS-Project-1\TDS-Project-1\data
2025-06-19 01:19:53 | INFO     | root:143 | <module>() |    - Similarity threshold: 0.68
2025-06-19 01:19:53 | INFO     | root:144 | <module>() |    - Max results: 15
2025-06-19 01:19:53 | INFO     | root:145 | <module>() |    - Max context chunks: 4
2025-06-19 01:19:53 | INFO     | root:146 | <module>() |    - Request timeout: 30s
2025-06-19 01:19:53 | INFO     | root:147 | <module>() |    - Max retries: 3
2025-06-19 01:19:53 | INFO     | root:148 | <module>() |    - Embedding model: text-embedding-3-small
2025-06-19 01:19:53 | INFO     | root:149 | <module>() |    - Chat model: gpt-4o-mini
2025-06-19 01:19:53 | INFO     | root:159 | <module>() | ✅ AIPipe API key configured: eyJhbGci...IyQI
2025-06-19 01:19:53 | INFO     | root:250 | <module>() | ✅ FastAPI application initialized with enhanced middleware
2025-06-19 01:19:53 | INFO     | root:296 | initialize_database() | 🗄️  Initializing database...
2025-06-19 01:19:53 | INFO     | root:311 | initialize_database() | 📂 Using existing database: C:\Users\verma\TDS-Project-1\TDS-Project-1\data\knowledge_base_compressed.db
2025-06-19 01:19:53 | INFO     | root:439 | initialize_database() | 📊 Database statistics:
2025-06-19 01:19:53 | INFO     | root:440 | initialize_database() |    - Discourse chunks: 3651 (0 with embeddings)
2025-06-19 01:19:53 | INFO     | root:441 | initialize_database() |    - Markdown chunks: 380 (0 with embeddings)
2025-06-19 01:19:53 | INFO     | root:442 | initialize_database() | ✅ Database initialization completed
2025-06-19 01:19:53 | INFO     | root:1806 | <module>() | 🖥️  Server configuration:
2025-06-19 01:19:53 | INFO     | root:1807 | <module>() |    - Host: 0.0.0.0
2025-06-19 01:19:53 | INFO     | root:1808 | <module>() |    - Port: 8000
2025-06-19 01:19:53 | INFO     | root:1809 | <module>() |    - Reload: True
2025-06-19 01:19:53 | INFO     | root:1810 | <module>() |    - Workers: 1
2025-06-19 01:19:53 | INFO     | root:1811 | <module>() |    - Log level: info
2025-06-19 01:19:53 | INFO     | root:1830 | <module>() |    - Development mode with auto-reload
2025-06-19 01:19:53 | INFO     | root:1832 | <module>() | 🌟 Starting Enhanced RAG Knowledge Base API server...
2025-06-19 01:19:53 | INFO     | root:1833 | <module>() | 📚 Database: C:\Users\verma\TDS-Project-1\TDS-Project-1\data\knowledge_base_compressed.db
2025-06-19 01:19:53 | INFO     | root:1834 | <module>() | 🔗 AIPipe endpoint: https://aipipe.org
2025-06-19 01:19:53 | INFO     | root:1835 | <module>() | 🤖 Models: embedding=text-embedding-3-small, chat=gpt-4o-mini
2025-06-19 01:19:54 | INFO     | root:113 | <module>() | 🚀 Starting RAG Query API application
2025-06-19 01:19:54 | INFO     | root:114 | <module>() | 📁 Project root: C:\Users\verma\TDS-Project-1\TDS-Project-1
2025-06-19 01:19:54 | INFO     | root:115 | <module>() | 📊 Database path: C:\Users\verma\TDS-Project-1\TDS-Project-1\data\knowledge_base_compressed.db
2025-06-19 01:19:54 | INFO     | root:116 | <module>() | 📝 Database exists: True
2025-06-19 01:19:54 | INFO     | root:120 | <module>() | 📂 Data directory: C:\Users\verma\TDS-Project-1\TDS-Project-1\data
